model_name,family,feature_view,train_rows_used,fit_seconds,threshold,blend_members,blend_weights,fit_cv_rows_used,cv_threshold,cv_roc_auc,cv_average_precision,cv_accuracy,cv_balanced_accuracy,cv_precision,cv_recall,cv_f1,cv_positive_prediction_rate,cv_tp,cv_fp,cv_tn,cv_fn,cv_false_negative_rate,cv_false_positive_rate,cv_expected_cost_per_1k,cv_selection_score,cv_meets_accuracy_goal,cv_meets_recall_goal,cv_meets_precision_goal
CatBoost,catboost,native,2000000,4823.6,0.385,,,250000,0.385,0.7447400628254894,0.4908632439691894,0.5920986666666667,0.6626094622236138,0.3026859794684292,0.7809611768974503,0.43627853839208386,0.5214733333333333,118382,272723,325692,33203,0.2190388231025497,0.45574225245022265,948.6146666666667,-0.5861579610452157,0.0,1.0,0.0
Hist Gradient Boosting,histgb,dense_onehot,500000,444.08,0.355,,,250000,0.355,0.7418750722259794,0.48750282933273825,0.5902466666666667,0.6609710862590324,0.30141849397866904,0.7796813668898638,0.43476165689702423,0.522808,118188,273918,324497,33397,0.22031863311013622,0.45773919437179883,953.0946666666666,-0.6734848439368911,0.0,1.0,0.0
XGBoost,xgboost,native,2000000,541.52,0.355,,,250000,0.355,0.7391719780001536,0.4882557790719259,0.5930413333333333,0.6598037967231163,0.30183417603962437,0.771863970709503,0.43396726783810097,0.5168533333333334,117003,270637,327778,34582,0.2281360292904971,0.45225637726327045,952.2453333333334,-0.6989057958169431,0.0,1.0,0.0
Random Forest,random_forest,dense_onehot,500000,1522.5,0.355,,,250000,0.355,0.7310519053762596,0.46488325258614627,0.5939653333333333,0.6562943478385792,0.30066444749717824,0.7609130190981958,0.43101798913327805,0.5115026666666667,115343,268284,330131,36242,0.23908698090180427,0.44832432342103723,957.0373333333333,-0.8423281917841174,0.0,1.0,0.0
Extra Trees,extra_trees,dense_onehot,500000,1665.62,0.43,,,250000,0.43,0.7184406596234411,0.441159551602212,0.6058066666666667,0.6514715144758396,0.30255150711066764,0.7281195368934921,0.42747618558877126,0.48640533333333336,110372,254432,343983,41213,0.2718804631065079,0.42517650794181294,953.2386666666666,-0.9451421741297257,0.0,1.0,0.0
Logistic Regression,logistic_regression,dense_onehot,500000,338.76,0.405,,,250000,0.405,0.7125703347803027,0.4272040800513244,0.60426,0.6488668960393096,0.30086990862120033,0.7237391562489692,0.4250427626927227,0.48618133333333335,109708,254928,343487,41877,0.27626084375103077,0.42600536417035,958.9879999999999,-1.0718693492516587,0.0,1.0,0.0
LightGBM,lightgbm,native,2000000,371.7,0.39,,,250000,0.39,0.7408888372256435,0.48578738618069417,0.5873546666666667,0.6592277610874056,0.2997887561464861,0.7798660817363195,0.43309227060573424,0.5257746666666666,118216,276115,322300,33369,0.22013391826368045,0.46141055956150834,958.7666666666667,-3.275241858742375,0.0,1.0,0.0
