model_name,family,feature_view,split,rows,threshold,train_rows_used,roc_auc,average_precision,accuracy,balanced_accuracy,precision,recall,f1,positive_prediction_rate,tp,fp,tn,fn,false_negative_rate,false_positive_rate,expected_cost_per_1k,selection_score,meets_accuracy_goal,meets_recall_goal,meets_precision_goal
CatBoost,catboost,native,train,2750000,0.385,2000000,0.8138281845007821,0.6112771382236242,0.6513261818181818,0.7164842688762164,0.3518667514648382,0.8271221825130037,0.4937057287610257,0.4831436363636364,467506,861139,1323641,97714,0.1728778174869962,0.3941536447605708,803.9447272727273,2.289520031043629,0.0,1.0,1.0
CatBoost,catboost,native,cv,750000,0.385,2000000,0.7447400628254894,0.4908632439691894,0.5920986666666667,0.6626094622236138,0.3026859794684292,0.7809611768974503,0.4362785383920838,0.5214733333333333,118382,272723,325692,33203,0.2190388231025497,0.4557422524502226,948.6146666666668,-0.5861579610452157,0.0,1.0,0.0
CatBoost,catboost,native,test_1,500000,0.385,2000000,0.7294616071668363,0.473064828381959,0.569232,0.6491215983163936,0.3036205059679662,0.7884292560324858,0.4384109551894787,0.55379,84071,192824,200545,22560,0.2115707439675141,0.4901860593996985,996.896,-1.3516865369432567,0.0,1.0,0.0
CatBoost,catboost,native,test_2,500000,0.385,2000000,0.7273691734110158,0.4691282187155485,0.568652,0.6480328106791382,0.3031379150891592,0.7865083233353329,0.4376108225379143,0.553616,83911,192897,200415,22777,0.213491676664667,0.4904427019770563,999.358,-1.4050952083224442,0.0,1.0,0.0
CatBoost,catboost,native,test_3,500000,0.385,2000000,0.7281623151239691,0.4726675280059849,0.567548,0.6482118534323646,0.3034549972847684,0.7891566828465344,0.4383506847037799,0.556122,84379,193682,199395,22544,0.2108433171534655,0.4927329759818051,1000.168,-1.4034592915952175,0.0,1.0,0.0
